"station_name","wigos_station_identifier","traditional_station_identifier","facility_type","latitude","longitude","elevation","territory_name","wmo_region"
"OCNA SUGATAG","0-20000-0-15015",15015,"Land (fixed)",47.7770616258,23.9404602638,503,Romania,6
"BOTOSANI","0-20000-0-15020",15020,"Land (fixed)",47.7356532437,26.6455501701,161,Romania,6
"IASI","0-20000-0-15090",15090,"Land (fixed)",47.163333333,27.6272222222,74.29,Romania,6
"CEAHLAU TOACA","0-20000-0-15108",15108,"Land (fixed)",46.9775099973,25.9499399749,1897,Romania,6
"CLUJ-NAPOCA","0-20000-0-15120",15120,"Land (fixed)",46.7777705044,23.5713052939,410,Romania,6
"","0-20000-0-15150",15150,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15170",15170,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15200",15200,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15230",15230,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15260",15260,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15280",15280,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15292",15292,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15310",15310,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15335",15335,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15346",15346,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15350",15350,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15360",15360,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15410",15410,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15420",15420,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15450",15450,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15460",15460,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15470",15470,"Land (fixed)",0,0,0,Romania,6
"","0-20000-0-15480",15480,"Land (fixed)",0,0,0,Romania,6
